date,curator,artist,track,genre,youtube_url,youtube_music_url,spotify_url,bandcamp_url,soundcloud_url,tidal_url
2019-01-11,trey,Swallow the Sun,Upon the Water,doom,https://www.youtube.com/watch?v=n7AnGqSpeg0,,https://open.spotify.com/track/2rxoD3APza2XEGHOQ5bry6,https://centurymedia.bandcamp.com/track/upon-the-water,https://soundcloud.com/swallow-the-sun/upon-the-water,
2019-01-25,trey,A Novelist,His Kingdom is Vast,progressive/technical death,https://www.youtube.com/watch?v=K1XGMNxb2-8,,https://open.spotify.com/album/3xq74YLsYxXmUe76cuVvL3,https://anovelist.bandcamp.com/album/folie,,
2019-01-25,trey,Bring Me the Horizon,i apologise if you feel something,electronic/pop,https://www.youtube.com/watch?v=N0eOaXc9H4s,,https://open.spotify.com/track/4mrjzz6ETpW3wosJUYmKoL,,https://soundcloud.com/bring-me-the-horizon/i-apologise-if-you-feel,
2019-01-25,trey,Nekrogoblikon,The Magic Spider,melodic death,https://www.youtube.com/watch?v=KFFeeACcXC0,,https://open.spotify.com/track/2KysEWFfA9H8zSh91f4m8R,https://nekrogoblikon.bandcamp.com/track/the-magic-spider,https://soundcloud.com/nekrogoblikonofficial/the-magic-spider,
2019-02-01,trey,Corpsessed,Graveborne,death,https://www.youtube.com/watch?v=DctpX-tALvA,,https://open.spotify.com/artist/7iQRg97deViKIFRKfNPpJi,https://corpsessed.bandcamp.com/track/graveborne,,
2019-02-01,trey,Funeral Mist,Naught but Death,black,https://www.youtube.com/watch?v=TcDDwMHRjC4,,https://open.spotify.com/track/3y4sgr7zN897ck5odWN5uP,https://funeralmist.bandcamp.com/,,
2019-02-08,trey,Der Rote Milan,Drohende Schatten,black metal,https://www.youtube.com/watch?v=vzSKdKBwY6Q,,https://open.spotify.com/artist/6KrxlUMrjttzH8geVdzRK0,https://derrotemilan.bandcamp.com/track/drohende-schatten,,
2019-02-08,trey,Serocs,Thanatophobia,technical death metal,https://www.youtube.com/watch?v=N3gAKLFjiPw,,https://open.spotify.com/track/348QxL0aLYcOiMzpfpsx6E,https://serocs.bandcamp.com/track/thanatophobia,,
2019-03-01,trey,Anteros,Rhea (1672),post metal,https://www.youtube.com/watch?v=O60k5cwiqy8,,https://open.spotify.com/artist/7AgbaohUbhWwjjNKCSOB2x,https://anteros.bandcamp.com/album/lunas,,
2019-03-01,trey,Ghastly,Death by Meditation,death metal,https://www.youtube.com/watch?v=1zfAeGq7Itc,,https://open.spotify.com/artist/2Sa4c9qKaI7ILJs8D6gUCh,https://20buckspin.bandcamp.com/album/death-velour,,
2019-03-01,trey,Rolo Tomassi,The Hollow Hour,post/progressive hardcore,https://www.youtube.com/watch?v=m-KVx2hHb7g,,https://open.spotify.com/track/3z1Y7aH49FwaSZmIHKQc5w,https://rolotomassi.bandcamp.com/track/the-hollow-hour,,
2019-03-01,trey,Sulphur Aeon,Cult of Starry Wisdom,progressive/technical death,https://www.youtube.com/watch?v=BvjNLgYcDYs,,https://open.spotify.com/track/7pN4PXovW1KjUdSeWJc98n,https://sulphuraeon-vanrecords.bandcamp.com/track/cult-of-starry-wisdom,https://soundcloud.com/sulphuraeon/cult-of-starry-wisdom-live,
2019-03-08,trey,Blood Incantation,"Hidden Species (Vitrification of Blood, Pt. 2)",death metal,https://www.youtube.com/watch?v=eHsdXTCOx6g,,https://open.spotify.com/track/3jYMAtv2dEi8V4sIh8h1W2,https://darkdescentrecords.bandcamp.com/track/hidden-species-vitrification-of-blood-part-2,https://soundcloud.com/bloodincantation/hidden-species-vitrification,
2019-03-08,trey,Immolation,Furthest from the Truth,death metal,https://www.youtube.com/watch?v=LRccaIXdFjY,,https://open.spotify.com/track/03sWNpyNcjxxR2JDhZ0phF,https://immolation.bandcamp.com/track/furthest-from-the-truth,https://soundcloud.com/immolation-official/furthest-from-the-truth,
2019-03-08,trey,Morbid Angel,Immortal Rites,death metal,https://www.youtube.com/watch?v=mmOYSH_LjF4,,https://open.spotify.com/track/5hmek3mrSYvfSElBsPNbxo,https://morbid-angel.bandcamp.com/track/immortal-rites,https://soundcloud.com/morbid-angel-official/immortal-rites-1,
2019-03-08,trey,Necrot,Empty Hands,death metal,https://www.youtube.com/watch?v=bTNas0q5exI,,https://open.spotify.com/artist/5jWIRPU5rVBm6ky8Atq7AW,https://necrot.bandcamp.com/track/empty-hands,,
2019-03-29,trey,Myrkur,Elleskudt,black/folk metal,https://www.youtube.com/watch?v=7AbLjTZk9zM,,https://open.spotify.com/track/197mFHzAp0rlVRUyIIcws7,https://myrkur.bandcamp.com/track/elleskudt-2,,
2019-03-29,trey,Nervosa,Bleeding,thrash/death metal,https://www.youtube.com/watch?v=RzGXceAGoBQ,,https://open.spotify.com/artist/5D9d9xyLNQu32QVD9t4YqH,https://nervosa-brazil.bandcamp.com/album/downfall-of-mankind,,
2019-03-29,trey,Venom Prison,Implementing the Metaphysics of Morals,hardcore/death metal,,,https://open.spotify.com/track/5bPdBi0uYdcpnhCNFBiFb2,https://venomprison.bandcamp.com/album/samsara,,
2019-04-05,trey,Architects,Modern Misery,metalcore,https://www.youtube.com/watch?v=T35p44JQ4Uk,,https://open.spotify.com/track/6jaJVPLZOME4TtgW1Es5NT,,https://soundcloud.com/architects-official/modern-misery,
2019-04-05,trey,Periphery,Follow Your Ghost,progressive/djent,https://www.youtube.com/watch?v=X_F7auDDFrY,,https://open.spotify.com/track/4NlpTJTL13deKp3fOSyYPV,,,
2019-04-05,trey,VLTIMAS,Total Destroy,death metal,https://www.youtube.com/watch?v=iKBe-KFpmS8,,https://open.spotify.com/track/3yJTfoQxJFIY7ABxMbnsmt,https://vltimas.bandcamp.com/track/total-destroy,,
2019-04-19,trey,Baroness,Seasons,progressive sludge rock,https://www.youtube.com/watch?v=k3n8RBaUMpc,,https://open.spotify.com/track/1BykOjuWC9iCEf7QsVDjca,https://baroness.bandcamp.com/track/seasons,https://soundcloud.com/yourbaroness/seasons,
2019-04-19,trey,Wake,Rot,grindcore,https://www.youtube.com/watch?v=H6x2_9XJ53w,,https://open.spotify.com/album/3PDupBbWvbHuepA2T2KptE,https://wakegrind.bandcamp.com/track/rot,,
2019-04-19,trey,Wormwitch,Dancing in the Ashes,black metal,https://www.youtube.com/watch?v=VIWy8JvRoO0,,https://open.spotify.com/track/5AOdQf3kE8kzDByuThqdmQ,https://wormwitch.bandcamp.com/track/dancing-in-the-ashes,,
2019-05-10,trey,Amon Amarth,Shield Wall,melodic death metal,https://www.youtube.com/watch?v=ojjDhdoPF6E,,https://open.spotify.com/track/0gU58a8WjPaEG3Dt56i4Fr,https://amonamarth.bandcamp.com/album/berserker,https://m.soundcloud.com/amon-amarth/shield-wall,
2019-05-10,trey,Power Trip,Executioner’s Tax,thrash/hardcore crossover,https://www.youtube.com/watch?v=xdE4RO_P-qE,,https://open.spotify.com/track/4EfkScvqwzvHc8WE6vC8uo,https://powertripsl.bandcamp.com/track/executioners-tax,https://soundcloud.com/powertripofficial/executioners-tax-swing-of-the,
2019-05-10,trey,Ringworm,Vicious Circles of Life,hardcore,https://www.youtube.com/watch?v=F4QYR1A0W08,,https://open.spotify.com/artist/1mVvXNKbCaUapInbgHCDRV,https://ringworm.bandcamp.com/track/vicious-circle-of-life,,
2019-05-17,trey,Emma Ruth Rundle,Darkhorse,alternative,https://www.youtube.com/watch?v=1JKAoIYGhX8,,https://open.spotify.com/track/53oc5U2cz4MydANM35abYV,https://emmaruthrundle.bandcamp.com/track/darkhorse,https://soundcloud.com/emmaruthrundleofficial/darkhorse,
2019-05-17,trey,Possessed,Dominion,death metal,https://www.youtube.com/watch?v=5Kheg8UKRD0,,https://open.spotify.com/track/45sbUQZxmJDWtDWIJ9TgWr,https://possessedofficial.bandcamp.com/,,
2019-05-17,trey,Vanum,Immortal Will,black metal,https://www.youtube.com/watch?v=PRCmPcskQiw,,https://open.spotify.com/track/01WvrYafzhLPUB44EVF6TQ,https://vanum.bandcamp.com/track/immortal-will,,
2019-06-21,trey,Fuming Mouth,Nothing to Bleed,death metal/hardcore,https://www.youtube.com/watch?v=hUXXlWQJOzE,,https://open.spotify.com/track/1Ldq8HTGhy60RQspCS14A8,https://fumingmouth.bandcamp.com/track/nothing-to-bleed,https://soundcloud.com/fumingmouth/nothing-to-bleed,
2019-06-21,trey,Vein,Doomtech,hardcore/crossover,https://www.youtube.com/watch?v=8PykbLOrH34,,https://open.spotify.com/track/3HZUUjUk4xKqkP7u09X8Nb,https://veinband.bandcamp.com/track/doomtech,,
2019-07-05,trey,Aoratos,"Of Harvest, Scythe and Sickle Moon",black metal,https://www.youtube.com/watch?v=KeuX4EQeNPQ,,https://open.spotify.com/track/2H3feNyjjDvfBBrkLouh4G,https://aoratos.bandcamp.com/track/of-harvest-scythe-and-sickle-moon-2,,
2019-07-05,trey,Brymir,"Ride on, Spirit",heavy metal,https://www.youtube.com/watch?v=tyhOFQWfOyE,,https://open.spotify.com/track/2ic85Y77Mr4K6vjYTPeVoM,https://brymir.bandcamp.com/track/ride-on-spirit,,
2019-07-05,trey,The Ominous Circle,As the Worm Descends,death metal,https://www.youtube.com/watch?v=954e84zWMOY,,https://open.spotify.com/album/015KVlFzbmCbiKKiHG9Iwn,https://osmoseproductions.bandcamp.com/track/as-the-worm-descends,,
2019-07-26,trey,Burial Remains,They Crawl,hm2 death metal,https://www.youtube.com/watch?v=TdXRacK5y04,,https://open.spotify.com/album/1ULHmCihMWfJcTaRSRA6Po,https://rawskullrecordz.bandcamp.com/track/they-crawl,https://soundcloud.com/user-13879156/burial-remains-netherlands-they-crawl-death-metal,
2019-07-26,trey,Hiss from the Moat,The Harrier,blackened death metal,,,https://open.spotify.com/track/2onWvwtTHGkDdSPs9lx8WT,https://hissfromthemoat.bandcamp.com/album/the-harrier,,
2019-07-26,trey,Tomb Mold,Planetary Clairvoyance,death metal,https://www.youtube.com/watch?v=SHyNAQBOzkE,,https://open.spotify.com/track/2TF9ChYLGz8Y7Bzsi898Id,https://20buckspin.bandcamp.com/album/planetary-clairvoyance,https://soundcloud.com/tombmold/accelerative-phenomenae?in=tombmold/sets/planetary-clairvoyance,
2019-08-09,trey,Krypts,The Reek of Loss,death/doom metal,https://www.youtube.com/watch?v=bh4tZBm2xaA,,https://open.spotify.com/track/6RA9G4q9InPHV8lJCq6Ypq,https://darkdescentrecords.bandcamp.com/track/the-reek-of-loss,,
2019-08-09,trey,SIXforNine,Life Devouring Demons,alternative/progressive metal,https://www.youtube.com/watch?v=SyR5WjrJ26M,,https://open.spotify.com/track/0gR9JIRFq85HAdRXUbagLL,,,
2019-08-09,trey,Volbeat,Cheapside Sloggers,rock’n’roll,https://www.youtube.com/watch?v=F7V18BEaKn4,,https://open.spotify.com/track/49Ss5itZW4JTWiXtWTbKcy,https://volbeat.bandcamp.com/album/beyond-hell-above-heaven,https://soundcloud.com/volbeat-official/cheapside-sloggers,
2019-09-06,trey,Fire and Sword,Where the Light Lets Itself In,too many influences to list,https://www.youtube.com/watch?v=HGw09K4PsZ4,,,https://byfireandsword.bandcamp.com/track/where-the-light-lets-itself-in-2,,
2019-09-06,trey,No/Mas,Last Laugh,death/grind,https://www.youtube.com/watch?v=dpTesXKVaR8,,https://open.spotify.com/track/2vMEJAR3wAFW4CuthdOGJq,https://hpgd.bandcamp.com/album/last-laugh,,
2019-09-06,trey,Vitriol,A Gentle Gift,death metal,https://www.youtube.com/watch?v=llG-4F_uw_Q,,https://open.spotify.com/track/5YbwSA880fvKFv4PkkaIxn,https://vitriolwarfare.bandcamp.com/album/to-bathe-from-the-throat-of-cowardice-24-bit-hd-audio,,
